zip,city,state
35004,Chelsea,AL
35005,Alabaster,AL
35006,Brierfield,AL
35007,Bessemer,AL
35010,Alexander City,AL
35014,Alpine,AL
35016,Andalusia,AL
35020,Bessemer,AL
35022,Bessemer,AL
35031,Calera,AL
35034,Chelsea,AL
35040,Childersburg,AL
35043,Clanton,AL
35046,Columbiana,AL
35051,Dora,AL
35054,Eutaw,AL
35055,Eutaw,AL
35062,Fayette,AL
35064,Forkland,AL
35071,Gardendale,AL
35073,Fultondale,AL
35079,Helena,AL
35080,Jemison,AL
35085,Montevallo,AL
35091,Jasper,AL
99501,Anchorage,AK
99502,Anchorage,AK
99503,Anchorage,AK
99504,Anchorage,AK
99505,Elmendorf Afb,AK
99506,Fort Richardson,AK
99507,Anchorage,AK
99508,Anchorage,AK
99509,Anchorage,AK
99513,Anchorage,AK
99514,Anchorage,AK
99515,Anchorage,AK
99516,Anchorage,AK
99517,Anchorage,AK
99518,Anchorage,AK
99519,Anchorage,AK
99520,Anchorage,AK
99521,Anchorage,AK
99522,Anchorage,AK
99523,Anchorage,AK
99524,Anchorage,AK
99540,Girdwood,AK
99547,Atka,AK
99549,Big Lake,AK
99550,Eagle River,AK
85001,Phoenix,AZ
85002,Phoenix,AZ
85003,Phoenix,AZ
85004,Phoenix,AZ
85005,Phoenix,AZ
85006,Phoenix,AZ
85007,Phoenix,AZ
85008,Phoenix,AZ
85009,Phoenix,AZ
85012,Phoenix,AZ
85013,Phoenix,AZ
85014,Phoenix,AZ
85015,Phoenix,AZ
85016,Phoenix,AZ
85017,Phoenix,AZ
85018,Phoenix,AZ
85019,Phoenix,AZ
85020,Phoenix,AZ
85021,Phoenix,AZ
85022,Phoenix,AZ
85023,Phoenix,AZ
85024,Phoenix,AZ
85025,Phoenix,AZ
85026,Phoenix,AZ
85027,Phoenix,AZ
71601,Pine Bluff,AR
71602,Pine Bluff,AR
71603,Pine Bluff,AR
71604,Pine Bluff,AR
71605,Pine Bluff,AR
71606,Pine Bluff,AR
71607,Pine Bluff,AR
71608,Pine Bluff,AR
71609,Pine Bluff,AR
71611,Pine Bluff,AR
71612,Pine Bluff,AR
71613,Pine Bluff,AR
71614,Pine Bluff,AR
71615,Pine Bluff,AR
71616,Pine Bluff,AR
71617,Pine Bluff,AR
71618,Pine Bluff,AR
71619,Pine Bluff,AR
71620,Pine Bluff,AR
71621,Pine Bluff,AR
71622,Pine Bluff,AR
71623,Pine Bluff,AR
71624,Pine Bluff,AR
71625,Pine Bluff,AR
71626,Pine Bluff,AR
90001,Los Angeles,CA
90002,Los Angeles,CA
90003,Los Angeles,CA
90004,Los Angeles,CA
90005,Los Angeles,CA
90006,Los Angeles,CA
90007,Los Angeles,CA
90008,Los Angeles,CA
90009,Los Angeles,CA
90010,Los Angeles,CA
90011,Los Angeles,CA
90012,Los Angeles,CA
90013,Los Angeles,CA
90014,Los Angeles,CA
90015,Los Angeles,CA
90016,Los Angeles,CA
90017,Los Angeles,CA
90018,Los Angeles,CA
90019,Los Angeles,CA
90020,Los Angeles,CA
90021,Los Angeles,CA
90022,Los Angeles,CA
90023,Los Angeles,CA
90024,Los Angeles,CA
90025,Los Angeles,CA
80001,Arvada,CO
80002,Arvada,CO
80003,Arvada,CO
80004,Arvada,CO
80005,Arvada,CO
80006,Arvada,CO
80007,Arvada,CO
80008,Arvada,CO
80009,Arvada,CO
80010,Aurora,CO
80011,Aurora,CO
80012,Aurora,CO
80013,Aurora,CO
80014,Aurora,CO
80015,Aurora,CO
80016,Aurora,CO
80017,Aurora,CO
80018,Aurora,CO
80019,Aurora,CO
80020,Broomfield,CO
80021,Broomfield,CO
80022,Aurora,CO
80023,Erie,CO
80024,Dacono,CO
80025,Firestone,CO
6001,Andover,CT
6002,Avon,CT
6003,Bloomfield,CT
6006,Bristol,CT
6010,Bristol,CT
6011,Bristol,CT
6013,Burlington,CT
6016,Canaan,CT
6018,Canton,CT
6019,Canton Center,CT
6020,Colebrook,CT
6021,Collinsville,CT
6022,Cornwall,CT
6023,Cornwall Bridge,CT
6024,East Canaan,CT
6026,East Glastonbury,CT
6027,East Granby,CT
6028,East Haddam,CT
6029,East Hampton,CT
6031,East Hartland,CT
6032,Farmington,CT
6033,Glastonbury,CT
6034,Goshen,CT
6035,Granby,CT
6037,Hadlyme,CT
19701,Bear,DE
19702,Newark,DE
19703,Bear,DE
19706,Hockessin,DE
19707,Kirkwood,DE
19708,Kirkwood,DE
19709,Kirkwood,DE
19710,Newark,DE
19711,Newark,DE
19712,Newark,DE
19713,Newark,DE
19714,Newark,DE
19715,Newark,DE
19716,Newark,DE
19717,Newark,DE
19718,Newark,DE
19720,New Castle,DE
19721,New Castle,DE
19725,New Castle,DE
19726,New Castle,DE
19730,Newark,DE
19731,Port Penn,DE
19732,Townsend,DE
19733,Newark,DE
19734,Newark,DE
32003,Orange Park,FL
32004,St Augustine,FL
32005,Macclenny,FL
32006,St Augustine,FL
32007,Fleming Island,FL
32008,St Augustine,FL
32009,Glen St Mary,FL
32011,Callahan,FL
32013,Bunnell,FL
32024,Fernandina Beach,FL
32025,Lake Butler,FL
32030,Hilliard,FL
32033,Green Cove Springs,FL
32034,Fernandina Beach,FL
32035,St Marys,FL
32037,Elkton,FL
32038,Hastings,FL
32040,Hilliard,FL
32041,Starke,FL
32042,Starke,FL
32043,Jacksonville,FL
32044,Starke,FL
32046,Jacksonville,FL
32047,Starke,FL
32050,Green Cove Springs,FL
30001,Atlanta,GA
30002,Avondale Estates,GA
30003,Atlanta,GA
30004,Alpharetta,GA
30005,Alpharetta,GA
30006,Alpharetta,GA
30007,Marietta,GA
30008,Marietta,GA
30009,Alpharetta,GA
30010,Avondale Estates,GA
30012,Conyers,GA
30013,Conyers,GA
30014,Conyers,GA
30015,Covington,GA
30016,Covington,GA
30017,Dacula,GA
30019,Dacula,GA
30021,Tucker,GA
30022,Alpharetta,GA
30023,Tucker,GA
30024,Suwanee,GA
30025,Duluth,GA
30026,Conyers,GA
30028,Alpharetta,GA
30030,Decatur,GA
96701,Aiea,HI
96702,Haina,HI
96703,Ewa Beach,HI
96704,Haiku,HI
96705,Haina,HI
96706,Haina,HI
96707,Haiku,HI
96708,Kaaawa,HI
96709,Kaneohe,HI
96710,Kapolei,HI
96711,Lahaina,HI
96712,Lihue,HI
96713,Waianae,HI
96714,Waianae,HI
96715,Waianae,HI
96716,Honolulu,HI
96717,Waianae,HI
96718,Waianae,HI
96720,Hilo,HI
96721,Hilo,HI
96722,Hilo,HI
96723,Hilo,HI
96724,Hilo,HI
96725,Hilo,HI
96726,Hilo,HI
83201,Pocatello,ID
83202,Pocatello,ID
83203,Pocatello,ID
83204,Pocatello,ID
83205,Pocatello,ID
83206,Pocatello,ID
83207,Pocatello,ID
83208,Pocatello,ID
83209,Pocatello,ID
83210,Pocatello,ID
83211,Pocatello,ID
83212,Pocatello,ID
83213,Pocatello,ID
83214,Pocatello,ID
83215,Pocatello,ID
83216,Pocatello,ID
83217,Pocatello,ID
83218,Pocatello,ID
83219,Pocatello,ID
83220,Pocatello,ID
83221,Pocatello,ID
83222,Pocatello,ID
83223,Pocatello,ID
83224,Pocatello,ID
83225,Pocatello,ID
60001,Northbrook,IL
60002,Lake Bluff,IL
60003,Lake Forest,IL
60004,Lake Forest,IL
60005,Mount Prospect,IL
60006,Mount Prospect,IL
60007,Arlington Heights,IL
60008,Arlington Heights,IL
60009,Arlington Heights,IL
60010,Arlington Heights,IL
60011,Arlington Heights,IL
60012,Arlington Heights,IL
60013,Arlington Heights,IL
60014,Dundee,IL
60015,Northbrook,IL
60016,Des Plaines,IL
60017,Des Plaines,IL
60018,Des Plaines,IL
60019,Des Plaines,IL
60020,Deerfield,IL
60021,Glenview,IL
60022,Glenview,IL
60023,Glenview,IL
60025,Evanston,IL
60026,Evanston,IL
46001,Alexandria,IN
46002,Anderson,IN
46003,Arcadia,IN
46005,Atlanta,IN
46006,Aurora,IN
46007,Avilla,IN
46011,Anderson,IN
46012,Anderson,IN
46013,Anderson,IN
46014,Anderson,IN
46015,Anderson,IN
46016,Anderson,IN
46017,Anderson,IN
46018,Anderson,IN
46019,Anderson,IN
46020,Atlanta,IN
46021,Beech Grove,IN
46022,Carmel,IN
46023,Carmel,IN
46024,Carmel,IN
46025,Carmel,IN
46026,Carmel,IN
46027,Carmel,IN
46028,Carmel,IN
46029,Carmel,IN
50001,Adair,IA
50002,Adel,IA
50003,Allerton,IA
50005,Altoona,IA
50006,Ames,IA
50007,Ames,IA
50008,Anamosa,IA
50009,Anita,IA
50010,Ames,IA
50011,Ames,IA
50012,Ames,IA
50013,Ames,IA
50014,Ames,IA
50015,Ames,IA
50016,Ames,IA
50017,Ames,IA
50018,Ames,IA
50019,Ames,IA
50020,Ames,IA
50021,Ankeny,IA
50022,Ankeny,IA
50023,Ankeny,IA
50025,Audubon,IA
50026,Bouton,IA
50027,Blairsburg,IA
66002,Atchison,KS
66003,Baldwin City,KS
66004,Basehor,KS
66005,Bonner Springs,KS
66006,Centerville,KS
66007,Circleville,KS
66008,Colony,KS
66010,De Soto,KS
66012,Easton,KS
66013,Edgerton,KS
66014,Eudora,KS
66015,Everest,KS
66016,Fairway,KS
66017,Fontenac,KS
66018,Fort Scott,KS
66019,Fort Scott,KS
66020,Garnett,KS
66021,Gardner,KS
66022,Hiawatha,KS
66023,Highland,KS
66024,Hiawatha,KS
66025,Hillsboro,KS
66026,Horton,KS
66027,Hoyt,KS
66028,Kansas City,KS
40003,Bagdad,KY
40004,Bardstown,KY
40005,Bloomfield,KY
40006,Brooks,KY
40007,Buckner,KY
40008,Coxs Creek,KY
40009,Crestwood,KY
40010,Ekron,KY
40011,Eminence,KY
40012,Fairdale,KY
40013,Finchville,KY
40014,Fisherville,KY
40018,Frankfort,KY
40020,Frankfort,KY
40021,Frankfort,KY
40022,Frankfort,KY
40023,Georgetown,KY
40024,Georgetown,KY
40025,Georgetown,KY
40026,Georgetown,KY
40027,Georgetown,KY
40028,Georgetown,KY
40029,Georgetown,KY
40030,Georgetown,KY
40031,Georgetown,KY
70001,Metairie,LA
70002,Metairie,LA
70003,Metairie,LA
70004,Metairie,LA
70005,Metairie,LA
70006,Metairie,LA
70007,Metairie,LA
70008,Metairie,LA
70009,Metairie,LA
70010,Metairie,LA
70011,Metairie,LA
70012,Metairie,LA
70013,Metairie,LA
70014,Metairie,LA
70015,Metairie,LA
70016,Metairie,LA
70017,Metairie,LA
70018,Metairie,LA
70019,Metairie,LA
70020,Metairie,LA
70021,Metairie,LA
70022,Metairie,LA
70023,Metairie,LA
70024,Metairie,LA
70025,Metairie,LA
3901,South Berwick,ME
3902,Wells,ME
3903,Berwick,ME
3904,Eliot,ME
3905,Kittery,ME
3906,Kittery Point,ME
3907,Moody,ME
3908,Ogunquit,ME
3909,York,ME
3910,York Beach,ME
3911,York Harbor,ME
4001,Acton,ME
4002,Alfred,ME
4003,Arundel,ME
4004,Bailey Island,ME
4005,Biddeford,ME
4006,Biddeford Pool,ME
4007,Boothbay,ME
4008,Bridgton,ME
4009,Brownfield,ME
4010,Brunswick,ME
4011,Buxton,ME
4012,Casco,ME
4013,Chebeague Island,ME
4014,Cumberland Center,ME
4015,Cumberland Foreside,ME
20331,Washington,MD
20335,Washington,MD
20370,Washington,MD
20371,Washington,MD
20372,Washington,MD
20373,Washington,MD
20374,Washington,MD
20375,Washington,MD
20376,Washington,MD
20380,Washington,MD
20381,Washington,MD
20382,Washington,MD
20383,Washington,MD
20384,Washington,MD
20385,Washington,MD
20386,Washington,MD
20387,Washington,MD
20388,Washington,MD
20389,Washington,MD
20390,Washington,MD
20391,Washington,MD
20392,Washington,MD
20393,Washington,MD
20394,Washington,MD
20395,Washington,MD
1001,Agawam,MA
1002,Amherst,MA
1003,Amherst,MA
1004,Amherst,MA
1005,Ashfield,MA
1006,Belchertown,MA
1007,Blandford,MA
1008,Bondsville,MA
1009,Brimfield,MA
1010,Chester,MA
1011,Chesterfield,MA
1012,Chicopee,MA
1013,Chicopee,MA
1014,Chicopee,MA
1015,Chicopee,MA
1016,Chicopee,MA
1017,Cummington,MA
1018,Deerfield,MA
1019,Dwight,MA
1020,East Longmeadow,MA
1021,East Otis,MA
1022,Easthampton,MA
1026,Florence,MA
1027,Feeding Hills,MA
1028,Gilbertville,MA
48001,Auburn Hills,MI
48002,Auburn Hills,MI
48003,Auburn Hills,MI
48004,Auburn Hills,MI
48005,Auburn Hills,MI
48006,Auburn Hills,MI
48007,Auburn Hills,MI
48009,Birmingham,MI
48010,Bloomfield Hills,MI
48011,Bloomfield Hills,MI
48012,Bloomfield Hills,MI
48013,Birmingham,MI
48014,Bloomfield Hills,MI
48015,Bingham Farms,MI
48017,Bloomfield Hills,MI
48018,Clarkston,MI
48020,Clawson,MI
48021,Ferndale,MI
48022,Ferndale,MI
48023,Franklin,MI
48024,Fraser,MI
48025,Franklin,MI
48026,Fraser,MI
48027,Fraser,MI
48028,Fraser,MI
55001,Northfield,MN
55002,Anoka,MN
55003,Belle Plaine,MN
55004,Belle Plaine,MN
55005,Belle Plaine,MN
55006,Belle Plaine,MN
55007,Belle Plaine,MN
55008,Belle Plaine,MN
55009,Belle Plaine,MN
55010,Belle Plaine,MN
55011,Belle Plaine,MN
55012,Belle Plaine,MN
55013,Belle Plaine,MN
55014,Belle Plaine,MN
55015,Belle Plaine,MN
55016,Belle Plaine,MN
55017,Belle Plaine,MN
55018,Belle Plaine,MN
55019,Belle Plaine,MN
55020,Belle Plaine,MN
55021,Belle Plaine,MN
55022,Belle Plaine,MN
55023,Belle Plaine,MN
55024,Belle Plaine,MN
55025,Belle Plaine,MN
38601,Abbeville,MS
38602,Arkabutla,MS
38603,Batesville,MS
38604,Batesville,MS
38605,Batesville,MS
38606,Batesville,MS
38607,Batesville,MS
38608,Batesville,MS
38609,Batesville,MS
38610,Batesville,MS
38611,Batesville,MS
38612,Batesville,MS
38613,Batesville,MS
38614,Batesville,MS
38615,Batesville,MS
38616,Batesville,MS
38617,Batesville,MS
38618,Batesville,MS
38619,Batesville,MS
38620,Batesville,MS
38621,Batesville,MS
38622,Batesville,MS
38623,Batesville,MS
38624,Batesville,MS
